無_helmet	Empty_helmet	없음_helmet
魔君主赫嘉塞露卡片	Demon Lord Helgasercle Card	마군주 헬가 세르클 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主赫嘉塞露型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Helgasercle when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 헬가 세르클 형태의 악마 소환
魔君主雷克西波卡片	Demon Lord Rexipher Card	마군주 렉시퍼 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主雷克西波型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Rexipher when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 렉시퍼 형태의 악마 소환
魔君主米爾堤斯卡片	Demon Lord Mirtis Card	마군주 미르티스 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主米爾堤斯型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Mirtis when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 미르티스 형태의 악마 소환
靈驗的庫格利瓦爾澤法師卡片	Prodigious Kugheri Balzermancer Card	영험한 쿠게리 발저맨서  카드
異端者潘圖雷克斯卡片	Heretic Pantorex Card	이단자 판토렉스 카드
被撕毀的傳說強化用卡片	Ripped Legend Enhancement Card	찢어진 레전드 강화용 카드
老舊的傳說強化用卡片	Old Legend Enhancement Card	오래된 레전드 강화용 카드
傳說強化用卡片	Legend Enhancement Card	레전드 강화용 카드
發光的傳說強化用卡片	Shining Legend Enhancement Card	빛나는 레전드 강화용 카드
擴音器	Megaphone	확성기
布貝魔石	Vubbe Magic Stone	부베 마석
粉紅小花怪花瓣	Hanaming Petal	하나밍 꽃잎
LV2 寶箱鑰匙	Lv2 Treasure Chest Key	LV2 보물상자 열쇠
鑰匙	Key	열쇠
LV3 寶箱鑰匙	Lv3 Treasure Chest Key	LV3 보물상자 열쇠
LV4 寶箱鑰匙	Lv4 Treasure Chest Key	LV4 보물상자 열쇠
LV5 寶箱鑰匙	Lv5 Treasure Chest Key	LV5 보물상자 열쇠
凱帕根莖	Kepa Stem	케파 줄기
竹葉蟲的外皮	Leaf Bug Shell	잎방개의 껍질
奇奈希葉	Chinency Leaf	치넨시 잎
礦石龜的外殼	Infrorocktor Shell	인프로 락터의 껍질
卓柏卡布拉牙齒	Chupacabra Tooth	츄파카브라 이빨
韋伯觸角	Weaver Feeler	위버 더듬이
波庫布皮革	Pokubu Skin	포쿠부 가죽
幽格普斯葉子	Jukopus Leaf	유코푸스 잎
赤紅凱帕的結晶	Red Kepa Crystal	붉은 케파의 결정
大型怪物的葉子	Large Monster Leaf	대형 몹의 잎
布貝族的信物	Vubbe Token	부베족의 증표
石頭歐魯卡之核	Stone Orca Core	스톤오르카의 핵
水晶蜘蛛觸角	Crystal Spider Feelers	수정거미 더듬이
耶酷巴伊特觸角	Yekubite Antennae	에큐바이트 더듬이
潘圖族的角	Panto Horn	판토족의 뿔
傑克諾茲根莖	Zignuts Stem	지그너츠 줄기
蝴蝶翅膀	Butterfly Wing	나비 날개
種子中的種子	Seed's Seed	씨앗이 씨앗
彼蘭特花	Firent Flower	피렌트 꽃
伊諾溫之核	Egnome Core	이노움의 핵
約諾溫之核	Yognome Core	요노움의 핵
菲歐雷葉	Violet Leaf	비올렛 잎
拉佛雷花	Rafflet Flower	라플렛 꽃
提努根莖	Tanu Stem	타누 줄기
畢托爾觸角	Beetow Feeler	비토우 더듬이
麥茲的孢子囊	Maize Spore Pocket	마이즈의 포자 주머니
歐爾塔倫羽毛	Ultanun Feather	얼타눈 깃털
卡樂卡修蘑菇	Karkash Mushroom	카르카슈 버섯
耶拉巴人骨頭	Elravine Bones	엘라바인 뼈
伍潘特的外皮	Upent Bark	우펜트의 껍질
曼陀羅之樹的翅膀	Mantiwood Wing	멘티우드의 날개
刺球怪的尖刺	Thornball Thorn	던볼의 가시
歐涪羅的外皮	Operor Thorn	오페러의 껍질
奴德克奇的外皮	Bagworm Shell	누덕고치의 껍질
樹根貝里的結晶	Truffle Crystal	트리펠리의 결정
梅修花怪的根莖	Matsum Stem	메슘의 줄기
梅羅葛的心臟	Merog Heart	메로그의 심장
切波勒的翅膀	Chafperor Wing	체이퍼러의 날개
地下墓穴竹葉蟲的外皮	Catacomb Leafbug Shell	카타콤 잎방개의 껍질
蠟燭	Candle	양초
地下墓穴蛆蟲觸角	Catacomb Maggot Feeler	카타콤 구더기 더듬이
吞吐斯的尖刺	Tontooth Thorn	톤투스의 가시
皮諾葉	Pino Leaf	피노 잎
賈沛圖的根莖	Geppetto Stem	제페토의 줄기
吉努特的外皮	Zinute Skin	지누테의 껍질
沙漠卓柏卡布拉肉片	Desert Chupacabra Meat	사막 츄파카브라 고기
溫迪戈牙齒	Wendigo Tooth	웬디고 이빨
薩厄加之核	Sauga Core	사우가의 핵
拉屋地奴泰的外皮	Lauzinute Skin	라우지누테의 껍질
霍克瑪犬齒	Hogma Tusk	호그마 엄니
巴普觸角	Varv Feeler	바브 더듬이
吉努特卡斯之核	Zinutekas Core	지누테카스의 핵
暗黑蝙蝠的重量錘	Vesper Counterweight	베스퍼의 무게추
畢卡拉斯之核	Vikaras Core	비카라스의 핵
休塔因之核	Shtayim Core	쉬타임의 핵
霍倫之核	Wheelen Core	휠렌의 핵
羅斯拉特之核	Rusrat Core	러스라트의 핵
瑪厄洛斯之核	Mauros Core	마우로스의 핵
蜜蠟	Wax	밀납
樹妖葉	Stumpy Tree Leaf	몽당 나무 잎
長臂樹怪的結晶	Long-Branched Tree Crystal	긴팔 나무의 결정
因普洛博克的外殼	Infroburk Shell	인프로 버크의 껍질
喬雷之核	Zolem Core	졸렘의 핵
墓地青苔泥人之核	Gravegolem Core	묘지 골렘의 핵
幽靈范托的邪念體	Hallowventer Spirit Matter	할로우벤터의 사념체
柯卡特的心臟	Cockat Heart	코카트의 심장
德雷克肉片	Drake Meat	드레이크 고기
畢拉空葉	Phyracon Leaf	피라콘 잎
咒術人偶之核	Shaman Doll Core	주술인형의 핵
史萊姆碎片	Slime Piece	슬라임 조각
亞魯瑪的角	Arma Thorn	아르마의 뿔
赤紅礦石龜的外殼	Red Infrorocktor Shell	붉은 인프로 락터의 껍질
魔瓶怪碎片	Flask Piece	플라스크 조각
死亡魔特斯牙齒	Desmodus Tooth	데스모두스 이빨
暗黑咒術人偶之核	Black Shaman Doll Core	검은 주술인형의 핵
迪摩的晶球	Dimmer Marble	디머의 구슬
暗黑德雷克的心臟	Black Drake Heart	검은 드레이크의 심장
勒多的外皮	Rocktor Skin	락터의 껍질
貝奴凱洛斯之核	Venucelos Core	베누켈로스의 핵
阿哈得之核	Echad Core	에하드의 핵
泰瑪之核	Tama Core	타마의 핵
蜥蜴人牙齒	Lizardman Tooth	리자드맨 이빨
鉤子	Hook	갈고리
飛天青蛙之核	Winged Frog Core	날개 개구리의 핵
柯卡特里斯的骨頭	Cockatrice Bones	코카트리스의 뼈
德雷克的角	Drake Horn	드레이크의 뿔
格羅爾的角	Groll Horn	그롤의 뿔
藍色普拉卡大食花的根莖	Blue Fragaras Stem	푸른 프라가라스의 줄기
貝卡拉貝的外皮	Vekarabe Shell	베카라베의 껍질
普巫葛之核	Boowook Core	부우크의 핵
布貝弓身	Vubbe Bow	부베 활대
布貝鎬頭	Vubbe Pickaxe	부베 곡괭이
布貝頭巾	Vubbe Hood	부베 두건
丹德爾的翅膀	Dandel Wing	단델의 날개
潘圖眉毛	Panto Eyebrow	판토 눈썹
潘圖槍杆	Panto Spear Shaft	판토 창대
提皮歐的花蕊	Tipio Stamen	티피오의 꽃술
圖約勒葉脈	Doyor Leaf Bunch	도요르 잎다발
霍克瑪弓箭手腰帶	Hogma Archer Belt	호그마 궁수 허리띠
潘圖槍刃	Panto Spearhead	판토 창날
普羅智石	Phlogistone	플로지스톤
硫磺	Sulfur	유황
朱砂	Cinnabar	신나바르
蝙蝠翅膀	Bat Wing	박쥐의 날개
玻璃碎片	Glass Piece	유리 조각
橡樹	Oak Wood	떡갈나무
蠟樹	Ash Wood	물푸레나무
松樹	Pine Wood	소나무
杉樹	Cedar Wood	삼나무
橡樹木材	Oak Lumber	떡갈나무 목재
蠟樹木材	Ash Lumber	물푸레나무 목재
松樹木材	Pine Lumber	소나무 목재
杉樹木材	Cedar Lumber	삼나무 목재
寇里妖花的根莖	Coliflower Stem	콜리플라워의 줄기
薩厄加的改造核	Altered Sauga Core	사우가의 개조된 핵
丹德爾的結晶	Dandel Crystal	단델의 결정
奴德克奇的毒液	Bagworm Poison	누덕고치의 독액
闊箭矢	Broadhead Arrow	브로드헤드 애로우
錐箭矢	Bodkin Point Arrow	보드킨포인트 애로우
火藥箭矢	Hail Mary Arrow	헤일매리 애로우
溫迪戈獠牙	Wendigo Fang	웬디고 송곳니
金塊	Gold Bar	금괴
水銀	Mercury	수은
凱帕的外皮	Kepa Skin	케파의 껍질
高級材料	Advanced Materials	고급 재료
凱帕的結晶	Kepa Crystal	케파의 결정
稀有材料	Rare Materials	희귀 재료
竹葉蟲觸角	Leaf Bug Feeler	잎방개의 더듬이
發光的外皮	Shiny Skin	빛나는 껍질
粉紅小花怪香味	Hanaming Aroma	하나밍 아로마
粉紅小花怪的結晶	Hanaming Crystal	하나밍의 결정
奇奈希根	Chinency Root	치넨시 뿌리
礦石龜的骨頭	Infrorocktor Bones	인프로 락터의 뼈
塔特	Talt	탈트
卓柏卡布拉皮革	Chupacabra Skin	츄파카브라 가죽
卓柏卡布拉眼珠	Chupacabra Eyeball	츄파카브라 눈알
波波小獅王的骨頭	Popolion Bones	포포리온의 뼈
波波小獅王花瓣	Popolion Leaf	포포리온 꽃잎
韋伯的外皮	Weaver Skin	위버의 껍질
韋伯毒液	Weaver Venom	위버 독액
波庫布肉片	Pokubu Meat	포쿠부 고기
波庫布之角	Pokubu Horn	포쿠부의 뿔
變色的葉子	Discolored Leaf	변색된 잎
幽格普斯繩子	Jukopus Rope	유코푸스 밧줄
赤紅凱帕的根莖	Red Kepa Stem	붉은 케파의 줄기
布貝槍尖	Vubbe Spear Head	부베 창끝
布貝的血	Vubbe Blood	부베의 피
拉普拉沃根	Raflower Root	라플라워 뿌리
拉普拉沃的結晶	Raflower Crystal	라플라워의 결정
石頭歐魯卡碎片	Stone Orca Piece	스톤오르카 조각
蝙蝠牙齒	Bat Tooth	박쥐 이빨
撕裂者的碎布	Shredded Piece of Cloth	쉬레디드의 천조각
撕裂者的邪念體	Shredded Spirit Matter	쉬레디드의 사념체
約克巴伊特牙齒	Yekubite Teeth	에큐바이트 이빨
約克巴伊特水晶	Yekubite Crystal	에큐바이트 수정
水晶蜘蛛外皮	Crystal Spider Shell	수정거미 껍질
水晶蜘蛛水晶	Crystal Spider Crystal	수정거미 수정
布貝鬥士之血	Vubbe Fighter Blood	부베 투사의 피
傑克諾茲果實	Zignuts Fruit	지그너츠 열매
傑克諾茲種子	Zignuts Seed	지그너츠 씨앗
潘圖葉子圖案裝飾	Panto Leaf Decoration	판토 잎 모양 장식
賀敏勃德的翅膀	Hummingbird Wing	허밍버드의 날개
賀敏勃德觸角	Hummingbird Feeler	허밍버드 더듬이
賀敏勃德翅膀粉末	Hummingbird Wing Power	허밍버드 날개 가루
里普萊依翅膀	Leafly Wing	리플라이 날개
里普萊依觸角	Leafly Feeler	리플라이 더듬이
里普萊依蛋	Leafly Egg	리플라이 알
希德米亞種子	Seedmia Seed	씨드미아 씨앗
希德米亞花粉	Seedmia Pollen	씨드미아 꽃가루
德雷克肩章	Drake Epaulet	드레이크 견장
彼蘭特外皮	Firent Skin	피렌트 껍질
斷裂的潘圖劍	Broken Panto Sword	부러진 판토 소드
潘圖蹄子	Panto Hoof	판토 발굽
潘圖魔法師法杖裝飾	Panto Magician Cane Decoration	판토 마법사 지팡이 장식
綠頭鴨的肉片	Mallardu Meat	말라두의 고기
綠頭鴨羽毛	Mallardu Feather	말라두 깃털
綠頭鴨的鳥喙	Mallardu Beak	말라두의 부리
菲歐雷花	Violet Flower	비올렛 꽃
菲歐雷的結晶	Violet Crystal	비올렛의 결정
約諾溫的破片	Yognome Fragment	요노움의 파편
伊諾溫的破片	Egnome Fragment	이노움의 파편
羅德林的翅膀	Rodelin Wing	로델린의 날개
羅德林的碎布頭	Rodelin Cloth Piece	로델린의 옷조각
朋德的頭髮	Pawnd Hair	폰드의 머리카락
朋德弓身	Pawnd Bow	폰드 활대
朋德爾的頭髮	Pawndel Hair	폰델의 머리카락
朋德爾杆子	Pawndel Shaft	폰델 샤프트
卡露克皮革	Galok Leather	갈록 가죽
卡露克的爪子	Galok Claw	갈록의 클로
葛利查頓的骨頭	Glizardon Bones	글리자돈의 뼈
葛利查頓的心臟	Glizardon Heart	글리자돈의 심장
葛利查頓的尾巴	Glizardon Tail	글리자돈의 꼬리
純水晶	Pure Crystal	퓨어 크리스탈
木柴	Firewood	장작
拉帕斯樹脂	Lapas Resin	라파스 수지
朱達斯結晶	Judas Crystal	주다스 결정
種子油	Seed Oil	시드 오일
麥茲孢子囊	Maize Spore Pocket	마이즈 포자 주머니
麥茲葉	Maize Leaf	마이즈 잎
麥茲眼珠	Maize Eyeball	마이즈 눈알
釣竿	Fishing Rod	낚시대
漁人怪之核	Fisherman Core	피셔맨의 핵
菜刀	Kitchen Knife	식칼
巨大鉤子	Large Hook	거대한 갈고리
報喪女妖的邪念體	Banshee Spirit Matter	밴시의 사념체
荊棘箭矢	Barbed Arrow	바브드 애로우
休塔因的紅眼	Red Eye of Shtayim	쉬타임의 붉은 눈
阿哈得的青眼	Blue Eye of Echad	에하드의 푸른 눈
克魯莫葉	Grummer Leaf	그루머 잎
黏稠液體	Sticky Liquid	끈적끈적한 액
乳膠	Latex	라텍스
脂肪	Fat	지방
獠牙豬肉片	Pokubon Meat	포쿠본 고기
路克史頓肉片	Loxodon Meat	룩소돈 고기
安斯勒	Ansur	안스르
貝歐諾爾	Veonol	베오놀
達耶勒	Daer	다에르
佩諾爾	Penol	페놀
亞拉何	Arah	아라흐
野蜘蛛葉	Bushspider Leaf	크루마보 잎
巨大小腿骨	Gigantic Shinbone	거대한 정강이뼈
暗黑死亡魔特斯牙齒	Black Desmodus Tooth	검은 데스모두스 이빨
暗黑大蘑菇精斗笠	Big Black Griba Bamboo Hat	검은 빅 그리바 갓
雞蛋	Egg	달걀
氣囊	Oxygen Pocket	공기 주머니
格羅爾牙齒	Groll Tooth	그롤 이빨
蘑菇精斗笠	Griba Bamboo Hat	그리바 갓
燈籠蘑菇精斗笠	Gribaru Bamboo Hat	그리바루 갓
木棍	Wooden Pile	나무 말뚝
生銹廢鐵	Rusted Scrap Metal	녹슨 고철
黑暗史萊姆破片	Dark Slime Fragment	다크슬라임 파편
魔力鴨的鳥喙	Ducky Beak	더키의 부리
丹丹花瓣	Denden Petal	덴덴 꽃잎
圖約勒腳趾甲	Doyor Claw	도요르 발톱
德雷克的皮膜	Drake Film	드레이크의 피막
德雷普毒針	Drape Poisoned Needle	드레이프 독침
裂嘴菌菇獸葉	Lafsave Leaf	라프세이브 잎
大花草毒液	Rafflesia Poison Extract	라플레시아 독액
蘭姆貝兒骨頭	Rambear Bones	램베어 뼈
毒妖花酸性樹液	Ravinelarvae Acid Sap	러바인러바 산성 수액
羅布倫破片	Rubblem Fragment	러블렘 파편
羅布倫之核	Rubblem Core	러블렘의 핵
雷姆爾的尾巴	Lemur Tail	레무르의 꼬리
雷姆力亞的尾巴	Lemuria Tail	레무리아의 꼬리
雷普斯兔毛	Lepusbunny Hair	레푸스버니 털
路克史頓象牙	Loxodon Ivory	룩소돈 상아
路克史頓的背脊	Loxodon Backbones	룩소돈의 등뼈
魯巴勃斯皮革	Rubabos Leather	루바보스 가죽
蜥蜴人腳趾甲	Lizardman Claw	리자드맨 발톱
蜥蜴人獠牙	Lizardman Fang	리자드맨 송곳니
葉豆精的翅膀	Leafnut Wing	리프넛의 날개
亡靈的頭巾	Specter Hood	망령의 두건
梅達奇亞金屬裝飾	Medakia Metal Decoration	메다키아 금속장식
梅達奇亞的角	Medakia Horn	메다키아의 뿔
曼陀羅之樹的外皮	Mantiwood Skin	멘티우드의 껍질
毛蟲獸前腿	Meleech Foreleg	멜리치 앞다리
摩格蘭肉片	Moglan Meat	모글란 고기
莫亞布的骨頭	Moyabu Bones	모야부의 뼈
麻里凡皮革	Minivern Skin	미니번 가죽
巴本羽毛	Bavon Feather	바본 깃털
巴普的外皮	Varv Skin	바브의 껍질
輪子	Wheel	바퀴
報喪女妖的頭巾	Banshee Hood	밴시의 두건
貝里克洛羽毛	Velwriggler Feather	벨리글러 깃털
紫色葉子	Violet Leaf	보라색 잎
赤紅布貝族信物	Red Vubbe Token	붉은 부베족 증표
畢特羅斯葉	Beeteros Leaf	비테로스 잎
大蘑菇精斗笠	Big Griba Bamboo Hat	빅 그리바 갓
柯卡特的鳥喙	Cockat Beak	코카트의 부리
沙漠卓柏卡布拉皮革	Desert Chupacabra Skin	사막 츄파카브라 가죽
薩厄加的動力機關	Sauga Motor Drive	사우가의 동력기관
塞爾葉	Cire Leaf	사이어 잎
南瓜精根莖	Sakmoli Stem	사크몰리 줄기
夏德斯泰爾腳趾甲	Shardstatue Claw	샤드스태튜 발톱
松脂	Resin	송진
休塔因碎片	Shnayim Fragment	쉬타임 파편
史塔烏利特心臟	Stoulet Heart	스타울리트 심장
屍體的手	Corpse Hand	시체의 손
阿姆里板金	Armori Plate	아모리 판금
阿蒙背脊	Ammon Backbone	암몬 등뼈
夜光孢子	Glow Spore	야광 포자
歐爾塔倫的骨頭	Ultanun Bones	얼타눈의 뼈
