攻擊	Attack	공격
需要遊俠1階	Ranger 1st Circle required	레인저 1서클 필요
需要圓盾劍士1階	Rodelero 1st Circle required	로델레로 1서클 필요
需要流氓1階	Rogue 1st Circle required	로그 1서클 필요
需要符文師1階	Rune Caster 1st Circle required	룬캐스터 1서클 필요
需要聖者1階	Sadhu 1st Circle required	사두 1서클 필요
需要工兵1階	Sapper 1st Circle required	새퍼 1서클 필요
需要斥候1階	Scout 1st Circle required	스카우트 1서클 필요
需要巫師1階	Sorcerer 1st Circle required	소서러 1서클 필요
需要召喚僕人Lv3	Lv3 Summon Servant required	서번트 소환 3레벨 필요
需要巫師3階	Sorcerer 3rd Circle required	소서러 3서클 필요
需要侍從1階	Squire 1st Circle required	스콰이어 1서클 필요
需要奇術師1階	Thaumaturge 1st Circle required	쏘마터지 1서클 필요
需要劍士1階	Swordsman 1st Circle required	소드맨 1서클 필요
需要法師1階	Wizard 1st Circle required	위저드 1서클 필요
需要巫蠱師1階	Wugushi 1st Circle required	무고사 1서클 필요
幸運餅乾 1階段	Fortune Cookies - 1	포춘 쿠키 1단계
幸運餅乾 2階段	Fortune Cookies - 2	포춘 쿠키 2단계
幸運餅乾 3階段	Fortune Cookies - 3	포춘 쿠키 3단계
幸運餅乾 4階段	Fortune Cookies - 4	포춘 쿠키 4단계
幸運餅乾 5階段	Fortune Cookies - 5	포춘 쿠키 5단계
設置物技能等級 +1	Adds +1 skill level for installment skills	설치물 스킬레벨이 +1 증가
伺服器追加經驗值	Server EXP Bonus	서버 추가 경험치
經驗值追加活動	EXP Event Bonus	추가 경험치 이벤트
隊伍追加經驗值	Party EXP Bonus	파티 추가 경험치
野性	Wild Nature	야성
[冰牆] 技能的持續時間增加 10秒。	Increases the duration of [Ice Wall] by 10 second	[아이스월] 스킬의 지속시간이 10초 증가합니다.
需要巫女1階	Miko 1st Circle required	무녀 1서클 필요
需要侍從3階	Squire 3rd Circle required	스콰이어 3서클 필요
需要聖殿騎士2階	Templar 2nd Circle required	템플러 2서클 필요
祈願合格麥芽糖	Lucky Taffy	합격 기원 엿
祈願合格維他命	Vitamin Pill	합격 기원 비타민
祈願合格巧克力	Valentine Chocolate	합격 기원 초콜릿
紅色種子	Red Seed	붉은 씨앗
活動地下城	Event Dungeon	이벤트 던전
可以令索爾米奇板金組合的特殊效果發動的狀態	Able to activate the special effect of Solmiki plate set	솔미키 판금 세트의 특수효과를 발동시킬 수 있는 상태
索爾米奇板金組合效果	Solmiki Plate Set Effect	솔미키 판금 세트 효과
5秒內恢復一定HP	Partially heals HP for 5 seconds	5초간 일정 HP를 회복
白色情人節	Sweet Boy Buff	화이트데이
放煙火	Fireworks	불꽃놀이
暖暖包	Hot Pack	핫 팩
高估	Overestimate	과대평가
仿造品	Forgery	모조품
低估	Devaluation	평가절하
弱點攻擊	Blindside	약점공격
提升輔助武器的強化度。	Increase Sub-weapon Enhancement	보조무기의 강화도를 올려준다
曝露弱點	Reveal Weak Spot	약점 노출
無視強化和超越	Ignore Enhancement and Transcendence	강화와 초월을 무시한다
狂熱	Fever	피버
飛彈攻擊傷害增加	Missile Attack Damage Increase	미사일 공격 데미지 증가
海盜團	Pirates	해적단
拉克斯頓 持有中	Rocksodon Owner	락스돈 보유중
角色別經驗值活動	Character EXP Event	캐릭별 경험치 이벤트
蘊含祝福的新芽 第1階段	Blessed Sprout Stage 1	축복이 깃든 새싹 1단계
蘊含祝福的新芽 第2階段	Blessed Sprout Stage 2	축복이 깃든 새싹 2단계
蘊含祝福的新芽 第3階段	Blessed Sprout Stage 3	축복이 깃든 새싹 3단계
蘊含祝福的新芽 第4階段	Blessed Sprout Stage 4	축복이 깃든 새싹 4단계
蘊含祝福的新芽 第5階段	Blessed Sprout Stage 5	축복이 깃든 새싹 5단계
公會戰 第1名	Regional Guild Battles - 1st Place	길드배틀 1위
公會戰 第2名	Regional Guild Battles - 2nd Place	길드배틀 2위
公會戰 第3名	Regional Guild Battles - 3rd Place	길드배틀 3위
公會戰勝利者	Guild Battle Victor	길드배틀 승리자
參與活動	Apply for Event	이벤트 참여
裝作結冰	Pretend to be frozen	결빙 걸린 척
寵物Buff	Companion Buff	컴패니언 버프
1周年爆竹	Firecracker	1주년 폭죽
Commander Lord Phail Buff	Commander Lord Phail Buff	Commander Lord Phail 버프
* 武器可變更	* Can change weapons	* 무기 변경 가능
* 可以裝備[單手劍]系列武器	* Can equip [One-handed Sword] type weapons	* [한손검] 계열 무기 착용 가능
* 可以裝備[雙手劍]系列武器	* Can equip [Two-handed Sword] type weapons	* [양손검] 계열 무기 착용 가능
* 可以裝備[單手槍]系列武器	* Can equip [One-handed Spear] type weapons	* [한손창] 계열 무기 착용 가능
* 可以裝備[雙手槍]系列武器	* Can equip [Two-handed Spear] type weapons	* [양손창] 계열 무기 착용 가능
* 可以裝備[弓 ]系列武器	* Can equip [Bow] type weapons	* [활] 계열 무기 착용 가능
* 可以裝備[十字弓]系列武器	* Can equip [Crossbow] type weapons	* [크로스보우] 계열 무기 착용 가능
* 可以裝備[魔杖]系列武器	* Can equip [Rod] type weapons	* [로드] 계열 무기 착용 가능
* 可以裝備[權杖]系列武器	* Can equip [Staff] type weapons	* [스태프] 계열 무기 착용 가능
* 可以裝備[鈍器]系列武器	* Can equip [Mace] type weapons	* [메이스] 계열 무기 착용 가능
* 可以裝備[魔棒]系列武器	* Can equip [Wand] type weapons	* [완드] 계열 무기 착용 가능
* 騎乘寵物時可使用技能	* Can use skill while riding companion	* 컴패니언에 탑승한채로 스킬 사용 가능
* 可以裝備[細劍]系列武器	* Can equip [Rapier] type weapons	* [레이피어] 계열 무기 착용 가능
* 角色背包可攜帶重量增加20	* Increases character's maximum inventory weight by 20	* 캐릭터 인벤토리의 휴대 가능무게가 20 증가
* 寵物的耐力消耗周期時間每特性等級{nl}    增加10秒	* Increases stamina consumption cycle of companion by 10 seconds per attribute level	* 컴패니언의 스태미나가 소모되는 주기 시간이 특성 레벨당{nl}    10초 증가
* 可以裝備[步槍]系列武器	* Can equip [Rifle] type weapons	* [장총] 계열 무기 착용 가능
* 角色可獲得的最多Buff數量增加1	* Increases character's maximum amount of buffs by 1	* 캐릭터가 받을 수 있는 최대 버프 개수가 1 증가
* 可以裝備[單手劍]系列武器於右手(輔助裝備)	* [One-handed Sword] type weapons can be equipped on the right hand (sub weapon)	* [한손검] 계열 무기를 오른손(보조 장비)에 착용 가능
* [痛擊]的技能攻擊力每特性等級增加28	* Increases damage dealt with [Bash] by 28 per attribute level	* [배쉬]의 스킬 공격력이 특성 레벨당 28 증가
* [痛擊]傷害強化為劍士3階水準	* Enhances damage of [Bash] to Swordsman Circle 3 standards	* [배쉬] 대미지가 소드맨 3서클 수준으로 강화
* [突刺]傷害強化為劍士2階水準	* Enhances damage of [Thrust] to Swordsman Circle 2 standards	* [쓰러스트] 대미지가 소드맨 2서클 수준으로 강화
* [突刺]傷害強化為劍士3階水準	* Enhances damage of [Thrust] to Swordsman Circle 3 standards	* [쓰러스트] 대미지가 소드맨 3서클 수준으로 강화
* [奮起]的物理攻擊力每特性等級增加效果提升1{nl}* 防禦力減少效果提升1	* Amplifies physical damage increase effect and decreased defense effect of [Gung Ho] by 1 per attribute level	* 특성 레벨당 [겅호]의 물리 공격력 증가 효과가 1 상승{nl}* 방어력 감소 효과 1 상승
* [專注]的追加傷害每特性等級增加2	* Increases additional damage of [Concentrate] by 2 per attribute level	* 특성 레벨당 [콘센트레이트]의 추가대미지가 2 증가
* [盾心打擊]傷害強化為輕裝步兵2階水準	* Enhances damage of [Umbo Blow] to Peltasta Circle 2 standards	* [엄보블로] 대미지가 펠타스타 2서클 수준으로 강화
* [盾心打擊]傷害強化為輕裝步兵3階水準	* Enhances damage of [Umbo Blow] to Peltasta Circle 3 standards	* [엄보블로] 대미지가 펠타스타 3서클 수준으로 강화
* [盾牌投擲]傷害強化為輕裝步兵3階水準	* Enhances damage of [Shield Lob] to Peltasta Circle 3 standards	* [실드랍] 대미지가 펠타스타 3서클 수준으로 강화
* 使用技能[高級守護]時每特性等級防禦力增加1	* Increases defense by 1 per attribute level when using [High Guard]	* 스킬 [하이 가드] 중일 때 방어력이 특성 레벨당 1씩 증가
* [蓄力一擊]傷害強化為高地戰士2階水準	* Enhances damage of [Cartar Stroke] to Highlander Circle 2 standards	* [카타스트로크] 대미지가 하이랜더 2서클 수준으로 강화
* [蓄力一擊]傷害強化為高地戰士3階水準	* Enhances damage of [Cartar Stroke] to Highlander Circle 3 standards	* [카타스트로크] 대미지가 하이랜더 3서클 수준으로 강화
* [擊頭]傷害強化為高地戰士2階水準	* Enhances damage of [Crown] to Highlander Circle 2 standards	* [크라운] 대미지가 하이랜더 2서클 수준으로 강화
* [擊頭]傷害強化為高地戰士3階水準	* Enhances damage of [Crown] to Highlander Circle 3 standards	* [크라운] 대미지가 하이랜더 3서클 수준으로 강화
* [車輪斬]傷害強化為高地戰士2階水準	* Enhances damage of [Wagon Wheel] to Highlander Circle 2 standards	* [수레바퀴] 대미지가 하이랜더 2서클 수준으로 강화
* [車輪斬]傷害強化為高地戰士3階水準	* Enhances damage of [Wagon Wheel] to Highlander Circle 3 standards	* [수레바퀴] 대미지가 하이랜더 3서클 수준으로 강화
* [十字守護]的物理防禦力增加效果每特性等級增加1	* Enhances physical defense increase effect of [Cross Guard] by 1 per attribute level	* [크로스 가드]의 물리 방어력 증가 효과가 특성 레벨당 1 추가
* [連續斬]傷害強化為高地戰士3階水準	* Enhances damage of [Moulinet] to Highlander Circle 3 standards	* [뮬리넷] 대미지가 하이랜더 3서클 수준으로 강화
* 受到[骷髏搖擺]的敵人無法跳躍	* Enemies cannot jump when attacked with [Skull Swing]	* [스컬 스윙]에 당한 적은 점프 불가
* [刺擊]傷害強化為重裝步兵2階水準	* Enhances damage of [Stabbing] to Hoplite Circle 2 standards	* [스태빙] 대미지가 하플라이트 2서클 수준으로 강화
* [刺擊]傷害強化為重裝步兵3階水準	* Enhances damage of [Stabbing] to Hoplite Circle 3 standards	* [스태빙] 대미지가 하플라이트 3서클 수준으로 강화
* [雙手突刺]傷害強化為重裝步兵2階水準	* Enhances damage of [Synchro Thrusting] to Hoplite Circle 2 standards	* [양손찌르기] 대미지가 하플라이트 2서클 수준으로 강화
* [雙手突刺]傷害強化為重裝步兵3階水準	* Enhances damage of [Synchro Thrusting] to Hoplite Circle 3 standards	* [양손찌르기] 대미지가 하플라이트 3서클 수준으로 강화
* [貫穿擊]傷害強化為重裝步兵2階水準	* Enhances damage of [Pierce] to Hoplite Circle 2 standards	* [피어스] 대미지가 하플라이트 2서클 수준으로 강화
* [貫穿擊]傷害強化為重裝步兵3階水準	* Enhances damage of [Pierce] to Hoplite Circle 3 standards	* [피어스] 대미지가 하플라이트 3서클 수준으로 강화
* [長驅直入]傷害強化為重裝步兵3階水準	* Enhances damage of [Long Stride] to Hoplite Circle 3 standards	* [롱스트라이드] 대미지가 하플라이트 3서클 수준으로 강화
* 技能[長驅直入]的冷卻時間減少10秒	* Decreases??쬸oldown time of [Long Stride] by 10 seconds	* 스킬 [롱스트라이드]의 재사용 대기시간이 10초 감소
* [開腸剖肚]傷害強化為野蠻人2階水準	* Enhances damage of [Embowel] to Barbarian Circle 2 standards	* [임바우얼] 대미지가 바바리안 2서클 수준으로 강화
* [開腸剖肚]傷害強化為野蠻人3階水準	* Enhances damage of [Embowel] to Barbarian Circle 3 standards	* [임바우얼] 대미지가 바바리안 3서클 수준으로 강화
* [狂怒]的物理攻擊力增加效果每特性等級提升	* Enhances physical attack increase effect of [Frenzy] per attribute level	* 특성 레벨당 [프렌지]의 물리 공격력 증가 효과가 상승
* [踐踏]傷害強化為野蠻人3階水準	* Enhances damage of [Stomping Kick] to Barbarian Circle 3 standards	* [스톰핑 킥] 대미지가 바바리안 3서클 수준으로 강화
* 野性Buff的持續時間增加5秒	* Increases Wild Nature buff duration by 5 seconds	* 야성 버프의 지속시간이 5초 증가
* [盾牌衝鋒]傷害強化為圓盾劍士2階水準	* Enhances damage of [Shield Charge] to Rodelero Circle 2 standards	* [실드 챠지] 대미지가 로델레로 2서클 수준으로 강화
* [盾牌衝鋒]傷害強化為圓盾劍士3階水準	* Enhances damage of [Shield Charge] to Rodelero Circle 3 standards	* [실드 챠지] 대미지가 로델레로 3서클 수준으로 강화
* [蒙塔諾]傷害強化為圓盾劍士2階水準	* Enhances damage of [Montano] to Rodelero Circle 2 standards	* [몬타노] 대미지가 로델레로 2서클 수준으로 강화
* [蒙塔諾]傷害強化為圓盾劍士3階水準	* Enhances damage of [Montano] to Rodelero Circle 3 standards	* [몬타노] 대미지가 로델레로 3서클 수준으로 강화
* [盾牌碎擊]傷害強化為圓盾劍士2階水準	* Enhances damage of [Targe Smash] to Rodelero Circle 2 standards	* [타지스매쉬] 대미지가 로델레로 2서클 수준으로 강화
* [盾牌碎擊]傷害強化為圓盾劍士3階水準	* Enhances damage of [Targe Smash] to Rodelero Circle 3 standards	* [타지스매쉬] 대미지가 로델레로 3서클 수준으로 강화
* [盾牌推擊]傷害強化為圓盾劍士2階水準	* Enhances damage of [Shield Push] to Rodelero Circle 2 standards	* [실드푸시] 대미지가 로델레로 2서클 수준으로 강화
* [盾牌推擊]傷害強化為圓盾劍士3階水準	* Enhances damage of [Shield Push] to Rodelero Circle 3 standards	* [실드푸시] 대미지가 로델레로 3서클 수준으로 강화
* [穿刺]傷害強化為鐵甲騎兵2階水準	* Enhances the damage of [Impaler] to Cataphract Circle 2 standards	* [임패일러] 대미지가 캐터프락트 2서클 수준으로 강화
* [穿刺]傷害強化為鐵甲騎兵3階水準	* Enhances the damage of [Impaler] to Cataphract Circle 3 standards	* [임패일러] 대미지가 캐터프락트 3서클 수준으로 강화
* [地動波]傷害強化為鐵甲騎兵2階水準	* Enhances damage of [Earth Wave] to Cataphract Circle 2 standards	* [어스 웨이브] 대미지가 캐터프렉트 2서클 수준으로 강화
* [地動波]傷害強化為鐵甲騎兵3階水準	* Enhances damage of [Earth Wave] to Cataphract Circle 3 standards	* [어스 웨이브] 대미지가 캐터프렉트 3서클 수준으로 강화
* [騎乘衝鋒]傷害強化為鐵甲騎兵2階水準	* Enhances damage of [Steed Charge] to Cataphract Circle 2 standards	* [스티드 챠지] 대미지가 캐터프렉트 2서클 수준으로 강화
* [騎乘衝鋒]傷害強化為鐵甲騎兵3階水準	* Enhances damage of [Steed Charge] to Cataphract Circle 3 standards	* [스티드 챠지] 대미지가 캐터프렉트 3서클 수준으로 강화
